City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Port Lincoln,AU,2022-12-27 22:30:02,-34.7333,135.8667,62.26,54,16,18.03,few clouds
194,Salinas,US,2022-12-27 22:30:03,36.6777,-121.6555,58.62,83,100,12.66,overcast clouds
195,Deputatskiy,RU,2022-12-27 22:30:05,69.3,139.9,-25.76,100,38,5.19,scattered clouds
196,Weihe,CN,2022-12-27 22:30:05,32.9952,105.3247,26.96,39,90,2.13,overcast clouds
197,Seguela,CI,2022-12-27 22:30:06,7.9611,-6.6731,75.97,31,9,2.06,clear sky
198,Owando,CG,2022-12-27 22:30:06,-0.4819,15.8999,74.43,64,96,2.48,overcast clouds
199,Guilin,CN,2022-12-27 22:30:08,25.2819,110.2864,46.51,69,100,10.31,overcast clouds
200,Itarema,BR,2022-12-27 22:30:10,-2.9248,-39.9167,80.17,76,98,14.29,overcast clouds
201,Vostok,RU,2022-12-27 22:30:10,46.4856,135.8833,-0.38,98,100,3.58,overcast clouds
202,Raga,SS,2022-12-27 22:30:10,8.4596,25.678,65.35,27,8,4.23,clear sky
203,Torbay,CA,2022-12-27 22:30:11,47.6666,-52.7314,33.58,89,75,12.66,broken clouds
204,Kasungu,MW,2022-12-27 22:30:11,-13.0333,33.4833,65.08,97,100,4.43,light rain
205,Sorland,NO,2022-12-27 22:30:12,67.667,12.6934,37.26,98,100,11.25,light rain
206,Marrakesh,MA,2022-12-27 22:26:16,31.6315,-8.0083,51.87,54,0,5.75,clear sky
207,Kodiak,US,2022-12-27 22:30:12,57.79,-152.4072,38.71,60,75,9.22,broken clouds
208,Tomatlan,MX,2022-12-27 22:30:13,19.9333,-105.25,87.85,28,3,7.63,clear sky
209,Dabat,ET,2022-12-27 22:30:13,12.9842,37.765,49.87,53,7,4.16,clear sky
210,Nyakahanga,TZ,2022-12-27 22:30:14,-1.6033,31.1414,58.01,94,100,0.56,overcast clouds
211,Natal,BR,2022-12-27 22:16:19,-5.795,-35.2094,81.25,69,20,14.97,few clouds
